id,name,genre,developers,publishers,releaseDates
112,Arslan: The Warriors of Legend,[],['Koei Tecmo'],['Koei Tecmo'],"{'Japan': 'Oct 1, 2015', 'NorthAmerica': 'Feb 12, 2016', 'Europe': 'Feb 9, 2016', 'Australia': 'Feb 9, 2016'}"
113,Art of Balance,[],"[""Shin'en Multimedia""]","[""Shin'en Multimedia""]","{'Japan': 'Unreleased', 'NorthAmerica': 'Jun 3, 2016', 'Europe': 'Jun 3, 2016', 'Australia': 'Jun 3, 2016'}"
114,Asdivine Dios,[],['Exe Create'],['Kemco'],"{'Japan': 'Jun 5, 2019', 'NorthAmerica': 'Unreleased', 'Europe': 'Jul 2, 2019', 'Australia': 'Jul 2, 2019'}"
115,Asdivine Hearts,[],['Kotobuki Solution'],['Kemco'],"{'Japan': 'Jan 10, 2017', 'NorthAmerica': 'Nov 7, 2017', 'Europe': 'Dec 13, 2016', 'Australia': 'Dec 13, 2016'}"
116,Asdivine Hearts II,[],['Exe Create'],['Kemco'],"{'Japan': 'Jan 17, 2018', 'NorthAmerica': 'Unreleased', 'Europe': 'Jan 24, 2019', 'Australia': 'Jan 24, 2019'}"
117,Asdivine Kamura,[],['Exe Create'],['Kemco'],"{'Japan': 'Oct 2, 2019', 'NorthAmerica': 'Unreleased', 'Europe': 'Nov 5, 2019', 'Australia': 'Nov 5, 2019'}"
118,Asdivine Menace,[],['Exe Create'],['Kemco'],"{'Japan': 'Aug 2, 2019', 'NorthAmerica': 'Unreleased', 'Europe': 'Sep 3, 2019', 'Australia': 'Sep 3, 2019'}"
119,Asemblance,[],['Nilo Studios'],['Nilo Studios'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jul 26, 2016', 'Europe': 'Jun 21, 2016', 'Australia': 'Jun 21, 2016'}"
120,Ashen,['Action role-playing'],['A44'],['Annapurna Interactive'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Dec 9, 2019', 'Europe': 'Dec 9, 2019', 'Australia': 'Dec 9, 2019'}"
121,Ashes Cricket,[],['Big Ant Studios'],['Big Ant Studios'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Nov 16, 2017', 'Europe': 'Nov 16, 2017', 'Australia': 'Nov 16, 2017'}"
122,Assassin's Creed III Remastered,"['Action-adventure', 'stealth']",['Ubisoft Montreal'],['Ubisoft'],"{'Japan': 'Mar 29, 2019', 'NorthAmerica': 'Mar 29, 2019', 'Europe': 'Mar 29, 2019', 'Australia': 'Mar 29, 2019'}"
123,Assassin's Creed IV: Black Flag,[],['Ubisoft Montreal'],['Ubisoft'],"{'Japan': 'Feb 22, 2014', 'NorthAmerica': 'Nov 22, 2013', 'Europe': 'Nov 19, 2013', 'Australia': 'Nov 19, 2013'}"
124,Assassin's Creed Chronicles: China,[],['Climax Studios'],['Ubisoft'],"{'Japan': 'Apr 22, 2015', 'NorthAmerica': 'Apr 22, 2015', 'Europe': 'Apr 21, 2015', 'Australia': 'Apr 21, 2015'}"
